Lema	Clase	Frecuencia	Frec. norm.	Frec. norm.
		general	con signos punt.	sin signos punt.
diverso	A	61885	156.09	179.268
publicar	V	61554	155.255	178.309
comunicación	N	61498	155.114	178.147
descubrir	V	61483	155.076	178.103
local	A	61359	154.763	177.744
traer	V	61299	154.612	177.57
blanco	A	61272	154.544	177.492
preparar	V	61183	154.319	177.234
ocupar	V	61106	154.125	177.011
construir	V	60925	153.669	176.487
oportunidad	N	60875	153.543	176.342
miembro	N	60802	153.358	176.13
Madrid	K	60672	153.03	175.754
agregar	V	60636	152.94	175.65
elemento	N	60526	152.662	175.331
	Y	60459	152.493	175.137
meter	V	60415	152.382	175.009
capital	N	60377	152.286	174.899
negro	A	60149	151.711	174.239
detener	V	60110	151.613	174.126
jugador	N	60029	151.409	173.891
compañía	N	59958	151.23	173.686
cantidad	N	59621	150.38	172.709
aceptar	V	59427	149.89	172.147
libre	A	59362	149.726	171.959
pregunta	N	59290	149.545	171.751
jefe	N	59262	149.474	171.669
comprar	V	59251	149.446	171.638
común	A	59214	149.353	171.53
proponer	V	59129	149.139	171.284
añadir	V	58999	148.811	170.908
	Y	58963	148.72	170.803
expresar	V	58857	148.453	170.496
olvidar	V	58857	148.453	170.496
mirada	N	58724	148.117	170.111
anunciar	V	58670	147.981	169.955
demostrar	V	58494	147.537	169.445
prueba	N	58487	147.519	169.424
economía	N	58386	147.265	169.132
fuera	R	58384	147.26	169.126
silencio	N	58324	147.108	168.952
estudiar	V	58186	146.76	168.552
ser	N	58153	146.677	168.457
pronto	R	58082	146.498	168.251
apoyo	N	57951	146.167	167.872
privado	A	57919	146.087	167.779
dicho	A	57861	145.94	167.611
demás	Q	57760	145.686	167.318
dónde	R	57755	145.673	167.304
aire	N	56975	143.706	165.044
aumentar	V	56887	143.484	164.79
viaje	N	56858	143.411	164.706
mover	V	56832	143.345	164.63
personaje	N	56810	143.29	164.566
dirección	N	56578	142.704	163.894
metro	N	56330	142.079	163.176
futuro	N	56162	141.655	162.689
mediante	P	56129	141.572	162.594
época	N	56072	141.428	162.429
definir	V	56004	141.257	162.232
encuentro	N	55951	141.123	162.078
mientras que	C	55720	140.54	161.409
propuesta	N	55479	139.932	160.711
aprender	V	55478	139.93	160.708
figura	N	55395	139.721	160.468
popular	A	55390	139.708	160.453
práctica	N	55370	139.657	160.395
artista	N	55226	139.294	159.978
energía	N	55135	139.065	159.714
entregar	V	55084	138.936	159.567
sitio	N	55076	138.916	159.543
causa	N	55026	138.79	159.399
compartir	V	55026	138.79	159.399
ministerio	N	54993	138.707	159.303
sostener	V	54978	138.669	159.26
euro	N	54922	138.528	159.097
acto	N	54784	138.179	158.698
participación	N	54391	137.188	157.559
mejorar	V	54350	137.085	157.44
análisis	N	54235	136.795	157.107
sueño	N	54184	136.666	156.96
cine	N	54158	136.6	156.884
reducir	V	54157	136.598	156.881
público	N	54117	136.497	156.765
regresar	V	54116	136.495	156.763
teatro	N	54031	136.28	156.516
suelo	N	53984	136.162	156.38
libertad	N	53832	135.778	155.94
objeto	N	53691	135.423	155.531
tratamiento	N	53645	135.307	155.398
profesor	N	53606	135.208	155.285
crisis	N	53584	135.153	155.221
provocar	V	53496	134.931	154.967
término	N	53482	134.895	154.926
constituir	V	53443	134.797	154.813
consejo	N	53078	133.876	153.756
imaginar	V	53077	133.874	153.753
ex	J	52940	133.528	153.356
europeo	A	52917	133.47	153.289
crecer	V	52912	133.458	153.275
posición	N	52890	133.402	153.211
cargo	N	52648	132.792	152.51
compañero	N	52475	132.356	152.009
asunto	N	52473	132.35	152.003
echar	V	52354	132.05	151.658
vuelta	N	52278	131.859	151.438
construcción	N	52240	131.763	151.328
capaz	A	52230	131.738	151.299
debido a	P	52174	131.596	151.137
comprender	V	52110	131.435	150.952
formación	N	52080	131.359	150.865
enfrentar	V	52022	131.213	150.697
apoyar	V	51892	130.885	150.32
físico	A	51739	130.499	149.877
